timestamp,symbol,prediction,confidence,option_strike,option_premium,option_type,entry_price,result,pnl_pct,pnl_val
2026-01-22 18:45:00+00:00,SPY,CALL,0.6526410579681396,695.0,0.46,CALL,690.0250244140625,SL,-63.38133204471485,-126.7626640894297
2026-01-22 20:45:00+00:00,SPY,CALL,0.9882055521011353,694.0,0.44,CALL,688.9299926757812,SL,-63.1919866152462,-110.36320408558802
2026-01-21 19:00:00+00:00,SPY,PUT,0.5606672167778015,676.0,0.58,PUT,680.0700073242188,SL,-84.13531911761413,-128.36931705533544
2026-01-21 18:00:00+00:00,SPY,PUT,0.6747979521751404,676.0,0.56,PUT,680.2000122070312,SL,-86.97755572954942,-173.95511145909884
2026-01-26 14:30:00+00:00,SPY,CALL,0.5561596155166626,697.0,0.49,CALL,692.1849975585938,SL,-59.109562266939854,-97.65430354899158
2026-01-16 15:30:00+00:00,SPY,CALL,0.7938042283058167,697.0,0.59,CALL,692.7150268554688,SL,-98.6068910397311,-143.64866209732642
2026-01-20 15:30:00+00:00,SPY,PUT,0.9295521974563599,679.0,0.45,PUT,683.8400268554688,TP,212.55816933126982,248.58334532343827
2026-01-20 19:30:00+00:00,SPY,PUT,0.6950502395629883,673.0,0.51,PUT,677.3900146484375,SL,-91.84523350511104,-153.07390769038696
2026-01-21 14:30:00+00:00,SPY,PUT,0.8730150461196899,679.0,0.6,PUT,683.02001953125,TP,164.53277128852432,223.84728304080153
2026-01-21 17:30:00+00:00,SPY,PUT,0.9783498048782349,676.0,0.49,PUT,680.5700073242188,SL,-80.26519023434292,-145.13529923326385
2026-01-21 19:30:00+00:00,SPY,PUT,0.9407281875610352,681.0,0.54,PUT,685.35498046875,SL,-71.20149557514502,-108.07865040675607
2026-01-22 15:30:00+00:00,SPY,CALL,0.829271674156189,695.0,0.42,CALL,689.7999877929688,TP,150.18623014035703,195.50783687433793
2026-01-23 19:30:00+00:00,SPY,CALL,0.8839066028594971,694.0,0.43,CALL,688.844970703125,TP,230.04349112390133,389.4141852941195
2026-01-26 15:30:00+00:00,SPY,CALL,0.932361900806427,698.0,0.48,CALL,693.1099853515625,SL,-81.26929869733651,-200.8662902853027
2026-01-26 14:30:00+00:00,SPY,CALL,0.7342542409896851,697.0,0.49,CALL,692.1849975585938,SL,-59.109562266939854,-118.21912453387971
2026-01-28 20:30:00+00:00,SPY,PUT,0.9192054271697998,691.0,0.6,PUT,695.1500244140625,TP,395.5248356320491,791.0496712640982
2026-01-29 15:00:00+00:00,SPY,PUT,0.8933547139167786,685.0,0.58,PUT,689.1699829101562,SL,-55.87523487786344,-200.15064211960322
2026-01-29 17:30:00+00:00,SPY,PUT,0.6714888215065002,686.0,0.48,PUT,690.7100219726562,SL,-54.9319976643987,-174.78252350651914
2026-01-29 19:45:00+00:00,SPY,PUT,0.515981912612915,687.0,0.59,PUT,691.135009765625,SL,-71.7425860497349,-203.19172052436477
2026-01-29 20:45:00+00:00,SPY,PUT,0.515981912612915,687.0,0.59,PUT,693.969970703125,SL,-62.6935076829992,-152.08501866884066
2026-01-30 15:15:00+00:00,SPY,PUT,0.7910465002059937,687.0,0.54,PUT,691.385009765625,SL,-56.90159452928364,-120.72694850156057
2026-01-30 16:00:00+00:00,SPY,PUT,0.5410361886024475,687.0,0.44,PUT,691.9699096679688,SL,-53.66831419540561,-100.90854018500869
